24-05-10 16:54 Session started
----------------------------------------
16:54:51 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

18:17:40 056:015 > c
18:17:40 056:016 > cl
18:17:40 056:017 > cla
18:17:41 056:018 > cla,
18:17:41 056:019 > cla,å
18:17:42 056:018 > cla,åp
18:17:43 056:018 > cla,åpm
18:17:44 056:019 > cla,åpmp
18:17:44 056:019 > cla,åpmpå
18:17:45 056:019 > cla,åpmpåp
18:17:46 056:015 > cla,åpmpåpC
18:17:47 056:016 > cla,åpmpåpCl
18:17:47 056:017 > cla,åpmpåpCla
18:17:47 056:018 > cla,åpmpåpClam
18:17:47 056:019 > cla,åpmpåpClamp
18:17:48 056:020 > cla,åpmpåpClamp)
18:17:48 056:020 > ()
18:17:49 056:021 > 1
18:17:50 056:022 > 1,
18:17:51 056:023 > 1,2
18:17:51 056:024 > 1,2,
18:17:51 056:025 > 1,2,1
18:17:52 056:025 > 1,2,13
18:18:02 056:021 > 1,2,135
18:18:03 056:021 > 1,2,1353
18:18:03 056:022 > 1,2,13530
18:18:03 056:023 > 1,2,13530p
18:18:04 056:024 > 1,2,13530px
18:18:06 056:028 > 1,2,13530px8
18:18:06 056:029 > 1,2,13530px80
18:18:06 056:030 > 1,2,13530px80p
18:18:07 056:031 > 1,2,13530px80px
18:18:12 056:028 > 1,2,13530px80px5
18:18:12 056:029 > 1,2,13530px80px50
18:18:14 056:021 > 1,2,13530px80px502
18:18:17 056:026 > 1,2,13530px80px5023
18:18:18 056:027 > 1,2,13530px80px5023c
18:18:18 056:027 > 1,2,13530px80px5023cv
18:18:20 056:028 > 1,2,13530px80px5023cvp
18:18:20 056:028 > 1,2,13530px80px5023cvpo
18:18:21 056:028 > 1,2,13530px80px5023cvpob
18:18:25 056:028 > 1,2,13530px80px5023cvpobp
18:18:27 056:026 > 1,2,13530px80px5023cvpobp3
18:18:28 056:027 > 1,2,13530px80px5023cvpobp3v
18:18:30 056:028 > 1,2,13530px80px5023cvpobp3vp
18:18:31 056:028 > 1,2,13530px80px5023cvpobp3vpP
18:18:32 056:028 > 1,2,13530px80px5023cvpobp3vpPv
18:18:33 056:028 > 1,2,13530px80px5023cvpobp3vpPvb
18:18:34 056:027 > 1,2,13530px80px5023cvpobp3vpPvbb
18:18:34 056:027 > 1,2,13530px80px5023cvpobp3vpPvbbv
18:18:35 056:028 > 1,2,13530px80px5023cvpobp3vpPvbbvb
18:18:55 056:026 > 1,2,13530px80px5023cvpobp3vpPvbbvb6
18:19:00 056:026 > 1,2,13530px80px5023cvpobp3vpPvbbvb64
18:19:05 056:026 > 1,2,13530px80px5023cvpobp3vpPvbbvb645
18:19:05 056:026 > 5px
18:19:08 056:027 > v
18:19:08 056:028 > vb
18:19:27 056:028 > vbh
18:19:46 056:021 > vbh3
18:19:47 056:022 > vbh30
18:20:04 056:030 > vbh304
18:20:04 056:031 > vbh3040
18:25:14 056:028 > vbh30402
18:25:16 056:028 > vbh30402w
18:25:21 056:026 > vbh30402w3
18:25:24 056:026 > vbh30402w32
18:25:41 056:030 > vbh30402w326
18:25:41 056:031 > vbh30402w3260
18:25:56 056:026 > vbh30402w32605
18:26:05 056:021 > vbh30402w326052
18:26:14 056:030 > vbh30402w3260524
18:39:13 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
18:39:17 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
18:39:27 056:030 > vbh30402w32605243
18:39:31 056:031 > vbh30402w326052436
18:40:10 104:004 > Clamp(20px,5vw,36px)
18:40:15 104:004 > font-size: 2.3vh
18:40:18 104:015 > Clamp(20px,5vw,36px)

18:40:21 104:026 > 2
18:40:21 104:027 > 2.
18:40:22 104:028 > 2.3
18:40:22 104:029 > 2.3v
18:40:23 104:030 > 2.3vh
18:40:24 104:030 > 2.3vhw
18:41:01 104:021 > 2.3vhw5
18:41:09 104:021 > 2.3vhw55
18:41:11 104:021 > 2.3vhw559
18:41:15 104:021 > 2.3vhw5591
18:41:15 104:021 > 2.3vhw55912
18:41:15 104:022 > 2.3vhw559120
18:41:18 104:021 > 2.3vhw5591204
18:41:20 104:021 > 2.3vhw55912041
18:41:20 104:022 > 2.3vhw559120413
18:41:23 104:022 > 2.3vhw5591204135
18:41:45 104:032 > 2.3vhw55912041352
18:41:45 104:033 > 2.3vhw559120413520
18:41:49 104:033 > 2.3vhw5591204135205
18:41:53 104:033 > 2.3vhw55912041352053
18:42:15 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
18:42:45 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------

18:42:46 124:035 > e
18:42:50 124:048 > er

18:43:21 104:033 > 0
18:43:35 104:033 > 03
19:13:44 104:021 > 031
19:13:45 104:022 > 031r
19:13:45 104:023 > 031re
19:13:46 104:024 > 031rem
19:13:51 104:032 > 031rem2
19:13:52 104:033 > 031rem2r
19:13:52 104:034 > 031rem2re
19:13:52 104:035 > 031rem2rem
19:32:14 104:032 > 031rem2rem1
19:32:14 104:033 > 031rem2rem1.
19:32:15 104:034 > 031rem2rem1.5
19:33:23 104:032 > 1.5

19:33:27 108:036 > ;
19:33:30 104:032 > 1.5
19:33:45 120:014 > ()

19:33:46 120:015 > -
19:33:46 120:016 > --
19:33:50 120:015 > --dartmouth-green
19:33:53 120:032 > )
19:33:55 120:015 > --
19:33:56 120:014 > (--
19:33:57 120:017 > dark
19:33:57 120:021 > -
19:33:57 120:022 > green

19:34:24 104:004 > f
19:34:25 104:004 > fc
19:34:26 104:005 > fco
19:34:26 104:006 > fcol
19:34:26 104:007 > fcolo
19:34:26 104:008 > fcolor
19:34:26 104:004 > color: ;
19:34:27 104:011 > v
19:34:27 104:012 > va
19:34:28 104:013 > var
19:34:28 104:011 > var()
19:34:29 104:015 > --brunswick-green
19:34:34 104:015 > -
19:34:34 104:016 > --
19:34:35 104:015 > --celadon
19:34:39 104:015 > -
19:34:39 104:016 > --
19:34:41 104:015 > --dartmouth-green
19:34:44 104:016 > .
19:34:45 104:016 > .-
19:34:48 104:015 > --mint-2
19:34:51 104:016 > -
19:34:54 104:015 > --sea-green
19:34:57 104:014 > ()
19:34:58 104:014 > ()
19:34:59 104:015 > -
19:35:01 104:015 > --brunswick-green
19:35:06 104:016 > -
19:35:08 104:015 > --dark-green
19:35:45 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\hem.html
----------------------------------------
19:35:46 Document switched to: c:\Users\bahaa\Desktop\WebSlutProject\slutprojekt-TE22C-Baha-Fayad\Webbplats\style.css
----------------------------------------
19:36:43 110:015 > Clamp(1rem, 2.3vw, 1.5rem);
19:36:45 122:015 > Clamp(1rem, 2.3vw, 1.5rem);
